1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.51776E+18,842745.768,,,2/1/18,966556.6102,1933113.22,2/1/18,1933113.22,,
1.51777E+18,846492.5737,,,2/4/18,842745.768,1685491.536,2/4/18,1685491.536,,
1.5183E+18,972194.6627,,,2/4/18,846492.5737,1692985.147,2/4/18,1692985.147,,
1.51831E+18,945251.0918,,,2/10/18,972194.6627,1944389.325,2/10/18,1944389.325,,
1.51852E+18,902810.7537,,,2/11/18,945251.0918,1890502.184,2/11/18,1890502.184,,
1.51857E+18,898413.4563,,,2/13/18,902810.7537,1805621.507,2/13/18,1805621.507,,
1.51894E+18,933601.5497,,,2/13/18,898413.4563,1796826.913,2/13/18,1796826.913,,
1.51912E+18,935126.0785,,,2/18/18,933601.5497,1867203.099,2/18/18,1867203.099,,
1.51914E+18,937792.9986,,,2/20/18,935126.0785,1870252.157,2/20/18,1870252.157,,
1.51915E+18,931486.4106,,,2/20/18,937792.9986,1875585.997,2/20/18,1875585.997,,
1.5195E+18,874953.9575,,,2/20/18,931486.4106,1862972.821,2/20/18,1862972.821,,
1.51982E+18,874953.9575,,,2/24/18,874953.9575,1749907.915,2/24/18,1749907.915,,
1.51986E+18,869592.2771,,,2/28/18,874953.9575,1749907.915,2/28/18,1749907.915,,
1.51999E+18,862080.4337,,,2/28/18,869592.2771,1739184.554,2/28/18,1739184.554,,
1.51999E+18,861218.3178,,,3/2/18,862080.4337,1724160.867,3/2/18,1724160.867,,
1.51999E+18,861358.4233,,,3/2/18,861218.3178,1722436.636,3/2/18,1722436.636,,
1.52E+18,860229.3904,,,3/2/18,861358.4233,1722716.847,3/2/18,1722716.847,,
1.52E+18,859550.7945,,,3/2/18,860229.3904,1720458.781,3/2/18,1720458.781,,
1.52E+18,858782.3997,,,3/2/18,859550.7945,1719101.589,3/2/18,1719101.589,,
1.52E+18,858042.0194,,,3/2/18,858782.3997,1717564.799,3/2/18,1717564.799,,
1.52E+18,857740.7176,,,3/2/18,858042.0194,1716084.039,3/2/18,1716084.039,,
1.52004E+18,863029.6098,,,3/2/18,857740.7176,1715481.435,3/2/18,1715481.435,,
1.52029E+18,853207.6407,,,3/3/18,863029.6098,1726059.22,3/3/18,1726059.22,,
